Day,Month,Year,Valor COLCAP,Variacion absoluta,Variacion porcentual
8,1,2009,873.31,2.7621,0.003173
9,1,2009,873.09,-0.2219,-0.000254
13,1,2009,871.84,-1.2518,-0.001434
14,1,2009,855.91,-15.9256,-0.018267
15,1,2009,844.78,-11.136,-0.013011
16,1,2009,846.51,1.7295,0.002047
19,1,2009,849.06,2.5516,0.003014
20,1,2009,837.39,-11.6691,-0.013744
21,1,2009,832.92,-4.4725,-0.005341
22,1,2009,831.82,-1.0999,-0.001321
23,1,2009,833.91,2.0905,0.002513
26,1,2009,845.42,11.5155,0.013809
27,1,2009,849.95,4.5264,0.005354
28,1,2009,865.44,15.4938,0.018229
29,1,2009,862.4,-3.0414,-0.003514
30,1,2009,869.8,7.4005,0.008581
2,2,2009,861.6,-8.2055,-0.009434
3,2,2009,865.77,4.1692,0.004839
4,2,2009,871.25,5.4819,0.006332
5,2,2009,872.46,1.2107,0.00139
6,2,2009,884.27,11.8148,0.013542
9,2,2009,886.37,2.0968,0.002371
10,2,2009,879.72,-6.65,-0.007503
11,2,2009,874.27,-5.45,-0.006195
12,2,2009,865.27,-9,-0.010294
13,2,2009,879.41,14.14,0.016342
16,2,2009,875.43,-3.98,-0.004526
17,2,2009,857.65,-17.78,-0.02031
18,2,2009,848.07,-9.58,-0.01117
19,2,2009,849.2,1.13,0.001332
20,2,2009,834.24,-14.96,-0.017617
23,2,2009,831.19,-3.05,-0.003656
24,2,2009,825.17,-6.02,-0.007243
25,2,2009,833.07,7.9,0.009574
26,2,2009,845.42,12.35,0.014825
27,2,2009,852.16,6.74,0.007972
2,3,2009,831.95,-20.21,-0.023716
3,3,2009,836.43,4.48,0.005385
4,3,2009,847.72,11.29,0.013498
5,3,2009,836.56,-11.16,-0.013165
6,3,2009,839.26,2.7,0.003228
9,3,2009,837.87,-1.39,-0.001656
10,3,2009,849.64,11.77,0.014048
11,3,2009,844.1,-5.54,-0.00652
12,3,2009,849.28,5.18,0.006137
13,3,2009,853.48,4.2,0.004945
16,3,2009,860.68,7.2,0.008436
17,3,2009,858.04,-2.64,-0.003067
18,3,2009,861.29,3.25,0.003788
19,3,2009,870.05,8.76,0.010171
20,3,2009,865.59,-4.46,-0.005126
24,3,2009,876.42,10.83,0.012512
25,3,2009,876.51,0.09,0.000103
26,3,2009,874.55,-1.96,-0.002236
27,3,2009,873.16,-1.39,-0.001589
30,3,2009,862.14,-11.02,-0.012621
31,3,2009,874.21,12.07,0.014
1,4,2009,878.12,3.91,0.004473
2,4,2009,891.09,12.97,0.01477
3,4,2009,887.26,-3.83,-0.004298
6,4,2009,886.41,-0.85,-0.000958
7,4,2009,887.58,1.17,0.00132
8,4,2009,882.87,-4.71,-0.005307
13,4,2009,879.78,-3.09,-0.0035
14,4,2009,884.57,4.79,0.005445
15,4,2009,888.74,4.17,0.004714
16,4,2009,889.61,0.87,0.000979
17,4,2009,885,-4.61,-0.005182
